queue1,queue2,action
29,3,5
17,31,2
37,2,5
24,3,4
16,23,3
42,4,5
39,37,3
25,37,2
28,33,3
26,7,4
9,30,1
14,23,3
21,44,2
10,29,2
38,36,3
9,20,2
10,19,2
8,37,1
10,4,4
20,6,4
14,8,3
42,18,5
19,37,2
8,36,1
41,3,5
44,18,4
20,16,3
5,19,2
12,30,2
18,28,2
27,13,4
12,19,3
27,1,5
32,44,3
10,8,3
5,5,3
15,13,3
14,9,3
19,22,3
23,15,3
4,43,1
12,41,1
36,2,5
1,33,1
42,12,5
33,19,4
22,25,3
26,42,2
19,11,3
21,44,2
43,14,4
25,32,4
23,30,2
10,24,3
22,31,3
28,30,3
31,8,5
18,6,4
17,45,2
44,8,5
2,1,3
40,25,4
41,40,2
36,30,3
4,9,3
12,17,3
15,21,3
31,44,3
6,7,3
32,38,3
5,29,1
29,17,4
22,9,4
35,19,4
32,22,3
41,5,5
40,27,4
10,15,3
31,17,4
9,26,2
1,11,2
33,13,4
23,28,3
22,12,3
41,37,3
27,44,3
28,33,3
39,15,4
36,26,4
26,5,4
8,41,1
11,40,1
40,37,3
1,12,2
27,22,3
8,1,4
44,19,4
32,14,3
23,7,4
21,8,4
32,3,5
19,34,2
41,2,5
27,3,5
17,26,2
47,4,5
44,41,3
28,41,2
31,36,3
29,7,4
10,33,1
15,26,2
24,49,2
11,33,1
43,40,3
9,23,2
11,22,2
8,42,1
11,4,3
22,6,4
15,8,3
47,19,5
21,42,2
9,40,1
46,3,5
49,20,4
22,26,3
5,21,1
13,33,1
20,32,2
30,14,4
22,15,3
30,0,5
36,50,2
11,8,3
5,5,3
18,15,3
16,10,3
24,20,3
25,17,3
4,48,1
13,46,1
40,2,5
1,37,1
47,13,4
37,21,4
25,22,3
29,48,2
12,21,2
23,50,2
49,15,5
27,35,3
26,33,3
11,27,2
35,24,3
31,33,3
34,9,5
20,6,4
18,50,1
50,8,5
1,1,3
45,28,4
46,44,3
40,34,3
5,9,3
18,13,3
23,17,3
34,50,2
6,7,3
36,43,3
5,32,1
33,19,3
25,9,4
39,21,4
36,24,4
46,6,5
45,30,3
17,11,3
35,19,4
10,29,2
1,12,2
37,14,4
25,24,3
24,13,4
46,42,3
31,50,2
31,37,3
43,17,4
41,29,4
29,5,5
9,46,1
12,44,1
45,41,3
1,13,1
24,30,3
8,1,3
49,21,4
36,15,4
25,8,4
24,9,4
